,Chapter,Topic,Content
42,Chapter 8 - Motion,Introduction of Motion,"Rest:- A body is said to be in a state of rest when its position does not change with respect to a reference point. Motion:- A body is said to be in a state of motion when its position change continuously with reference to a point. There are different types motion depending upon the type of path :- Linear motion:- This motion travels along a straight path Oscillatory motion:-This motion travels To and fro path with respect to origin Circular motion:- This motion travels in a circular path Scalar quantity:- It is the physical quantity having its own magnitude but no direction. Ex- Distance, speed. Vector quantity:- It is the physical quantity having its own both magnitude and direction. Ex- Displacement, Velocity."
43,Chapter 8 - Motion,Describing Motion,"To describe the position of an object we need to specify a reference point called the origin. Motion along a straight line The simplest type of motion is the motion along a straight line. Consider the motion of an object moving along a straight path. The objects starts its journey from O which is treated as its reference point. Let A, B and C represent the position of the object at different instants. At first, the objects moves through C and B and reaches A. Then it moves back along the same path and reaches through B. The total path length covered by the object is OA + AC, that is 60 km + 35km = 95km. This is the distance covered by the object. The numerical value of a physical quantity is its magnitude. Displacement:- The shortest distance measured from the initial to the final position of an object is known as the displacement. It is a vector quantity. Displacement can be negative (-), positive (+) or zero. Displacement can be equal to distance or its lesser than distance. In the above figure if objects starts from O and travel to point A and back to its original position O then its displacement is zero (0) and if objects reaches at C then displacement will be 25km. Two different physical quantities-the distance and the displacement, are used to describe the overall motion of an object and to locate its final position with reference to its initial position. A device that shows the distance travelled by automobiles. Such device is known as an odometer."
44,Chapter 8 - Motion,Uniform motion and Non-uniform motion,"Uniform motion:- As the object covers equal distances in equal intervals of time, it is said to be in uniform motion. Example- A car running at a constant speed of say, 10 metres per second, will cover equal distances of 10 metres, every-second, so its motion will be uniform. Non-uniform motion:- As the object covers unequal distances in equal intervals of time, it is said to be in non-uniform motion. Example- If we drop a ball from the roof of a tall building, we will find that it covers unequal distances in equal intervals of time. Different objects may take different amounts of time to cover a given distance. Some of them move fast and some move slowly. The rate at which objects move can be different. Also, different objects can move at the same rate. Speed:- The measurement of distance travelled by a body per unit time is called speed. The S.I unit of speed is m/s-1 or m/s. Speed = Distance travelled/ Time Average speed:- The average speed of an object is obtained by dividing the total distance travelled by the total time taken. average speed = Total distance travelled/ Total time taken v= s/t Example 1:- An object travels 16m in 4s and then another 16m in 2s. What is the average speed of the object? Total distance travelled by object = 16m + 16m = 32m Total time taken = 4s + 2s = 6s Average speed = Total distance travelled/ total time taken = 32m/6s = 5.33 m s-1 speed with direction:- Velocity:- Velocity is the speed of an object moving in a definite direction. The velocity of an object can be uniform or variable. It can be changed by changing the object’s speed, direction of motion or both. When an object is moving along a straight line at a variable speed, we can express the magnitude of its rate of motion in terms of average velocity. Average velocity is given by the arithmetic mean of initial velocity and final velocity for a given period of time. Average velocity = initial velocity + final velocity/ 2 Vav= u + v/ 2 Speed and Velocity have the same units, that is , m s-1 or m/s. Example 2:- The odometer of a car reads 2000 km at the start of a trip and 2400 km at the end of the trip. If the trip took 8 h, calculate the average speed of the car in km h-1and m s-1. Distance covered by car (s) = 2400 km – 2000 km = 400 km Time (t) = 8 h Average speed of car (Vav) = s/t = 400km/8h = 50 km h-1 = 50 km/ h  1000 m/1km  1h/ 3600s = 13.9 ms-1 The average speed of the car is 50 km h-1 or 13.9 m s-1."
45,Chapter 8 - Motion,Rate of change of velocity,"Acceleration:- Acceleration of a body is defined as the rate of change of its velocity with time. That is called acceleration. acceleration = Change in velocity/ Time taken for change Now, the change in velocity is the difference between the final velocity and the initial velocity. That is, acceleration = Final velocity – Initial velocity/ Time taken a = v – u/ t where, a = acceleration of the body v = Final velocity of the body u = Initial velocity of the body t = time taken for the change in velocity If the velocity of an object changes from an initial value u to the final value v in time t, this kind of motion is known as accelerated motion. The acceleration is taken to be positive if it is in the direction of velocity and negative when it is opposite to the direction of velocity. The S.I unit of acceleration is m s-2. Uniform Acceleration:- A body has a uniform accelerated if it travels in a straight line and its velocity increases by equal amounts in equal intervals of time. Ex- The motion of a freely falling body is an example of uniformaly accelerated motion. Non-uniform Acceleration:- A body has a non-uniform if its velocity increases by unequal amounts in equal intervals of time. Ex- If a car travelling along a straight road increases its speed by unequal amounts in equal intervals of time, then the car is said to be moving with non- uniform acceleration. Ex- Starting from a stationary position, Rahul paddles his bicycle to attain a velocity of 6 m s-1 in 30 s. Then he applies brakes such that the velocity of the bicycle comes down to 4 m s-1 in next 5 s. Calculate the acceleration of the bicycle in both the cases. Sol:- In the first case: initial velocity (u) = 0 final velocity ( v) = 6 m s-1 time (T) = 30 s a = v – u/ t a = (6m s-1 – 0 m s-1)/30 s = 0.2 m s-2 In second case: initial velocity (u) = 6 m s-1 final velocity (v) = 4 m s-1 time (t) = 5 s a = ( 4 m s-1 – 6 m s-1)/ 5 s = – 0.4 m s-2 The acceleration of the bicycle in the first case is 0.2 m s-2 and in the second case, it is – 0.4 m s-2"
46,Chapter 8 - Motion,Equations of motion by graphical method,"First equation of motion:- The first equation of motion is : v = u + at. It gives the velocity acquired by a body in time t. Acceleration = Change in velocity/ Time taken or, Acceleration = Final velocity – Initial velocity/ Time taken a = v – u/ t at = v – u v = u + at where, v = final velocity of the body u = initial velocity of the body a = acceleration t = time 2. Second equation of motion:- The second equation of motion is s = ut + 1/2at2 . It gives the distance travelled by a body in time t. Average velocity = Initial velocity + Final velocity/ 2 that is, Average velocity = u + v/2 Distance travelled = Average velocity × Time s = ( u + v )/2× t From the above equation of motion we have v = u + at. Putting the value of v in above s = ( u + u + at)/2 X t s = ( 2u + at)/2 × t s = 2ut + at2/ 2 s = ut + 1/2at2 where, s = distance travelled by the body in time t u = Initial velocity of the body a = acceleration 3. Third equation of motion:- The third equation of motion : v2= u2 + 2as. It gives the velocity acquired by a body in travelling a distance s. From the second equation of motion we have: s = ut = 1/2at2…………………(1) And from the first equation of motion we have: v = u + at ………………………..(2) so, at = v -u or t = v – u/a putting the value of t in equation ( 1) we get: s = u(v-u)/a + 1/2× a ( v-u/a )2 s = uv – u2/a + a( v2 + u2 – 2uv)/2a2 (because =(v-u)2 = v2 + u2 – 2as) s = uv – u2/a + v2 + u2 – 2uv/2a s = 2uv – u2 + v2 + u2 – 2uv/ 2a or 2as = v2– u2 v2 = u2 + 2as where, v = final velocity u = initial velocity a = acceleration s = distance travelled"
47,Chapter 8 - Motion,Graphical Representation of Motion,"Graphs provide a convenient method to present basic information about a variety of events. For example, in the telecast of a one-day cricket match, vertical bar graphs show the run rate of a team in each over. To describe the motion of an object, we can use line graphs. In this case, line graphs show dependence of one physical quantity, such as distance or velocity, on another quantity, such as time. Distance-Time Graphs When a body moves with uniform speed, it will travel equal distances with in equal intervals of time. Thus, for uniform speed, a graph of distance travelled against time will be straight line as shown by line OA in fig 1. So, we can write the term ” uniform velocity” in place of “uniform speed” in the graph. So, the distance-time graph of a body moving at uniform speed is always a straight line. The slope of a distance-time graph indicates speed of the body. So, the distance time graph of a body can be used to calculate the speed of the body. Speed = Distance travelled/ time taken Speed = OY/OX If, however, the speed of a body is non-uniform, then the graph between distance travelled and time is a curved line ( called a parabola). When a body moves with a non-uniform speed, then its motion is said to be accelerated. So, the curved line also represents the distance- time graph of a body moving with accelerated motion. Velocity-time graph The variation in velocity with time for an object moving in a straight line can be represented by a velocity-time graph. In this graph, this is represented along the x-axis and the velocity is represented along the y-axis. If the object moves at uniform velocity, the height of its velocity-time graph will not change with time. It will be a straight line parallel to the x-axis. We know that the product of velocity and time give displacement of an object moving with uniform velocity. The area enclosed by velocity-time graph and the time axis will be equal to the magnitude of the displacement. When a body moves with uniform acceleration, its speed changes by equal amounts in equal intervals of time. Thus, the speed-time graph for a uniformly changing speed (or uniform acceleration) will be a straight line."
48,Chapter 8 - Motion,Uniform Circular Motion,"When a body (or an object) moves in a circular path with uniform speed, then it is said to be uniform circular motion. In such a motion the speed may be same throughout the motion but its velocity ( which is tangential ) is different at each and every point of its motion. Thus, uniform circular motion is an accelerated motion."
49,Chapter 9 - Force and Laws of Motion,Introduction of Force and Laws of Motion,"Force:- It is the force that enables us to do any work. When we do anything, either we pull or push the object. therefore, pull or push is called force. Example:- When we open a door, either we push or pull it. A drawer is pulled to open and pushed to close."
50,Chapter 9 - Force and Laws of Motion,Effect of Force,"→A ball on the ground , when given a small hit, does not move forever. Such observations suggest that rest is the “natural state”. →In our everyday life we have required to put a stationary object into motion or to stop a moving object. →Force changes the direction of motion. If you kick a ball to the left, you are applying force that changes its original path. →Pushing, hitting and pulling of objects are all ways of bringing objects in motion. They move because we make a force act on them. →Force can be used to change the magnitude of velocity of an object ( that is, to make the object move faster or slower) or to change its direction of motion."
51,Chapter 9 - Force and Laws of Motion,Balanced and Unbalanced Forces,"Balance force:- When equal forces act in opposite directions on an object, they are called balanced forces. In this case there is no any effect on the object’s position and it will remain at rest . Such forces do not cause any changes in motion. Balanced forces can change the shape size of an object. Unbalanced force:- When two opposite forces of different magnitudes acts on object. In this case, the object would begin to move in the direction of the greater force. This suggests that an unbalanced force acting on an object brings it in motion. Net Force:- The net force is the overall force acting on an object when both the forces acting on it. it determines the direction of in which the object will move and how fast it will accelerate. If the net force is zero, the forces are balanced, and there is no change in motion. However, if the net force is not zero, the forces are unbalanced, and the object’s motion will change accordingly. Frictional force:- Friction is a force that opposes the relative motion of objects in contact with each other. When two surfaces rub against each other, friction acts to resist their motion."
52,Chapter 9 - Force and Laws of Motion,Newton’s laws of motion,"Newton has given three laws to describe the motion of bodies. These laws are known as Newton’s laws of motion. The Newton’s laws of motion give a precise definition of force and establish a relationship between the force applied on a body and the state of motion acquired by it. Newton’s first law of motion:- A body at rest will remain at rest, and a body in motion will continue in motion in a straight line with a uniform speed, unless it is compelled by an external force to change its state of rest or of uniform motion. The tendency of a body to remain at rest (stationary) or, if moving, to continue moving in a straight line, called inertia. Newton’s first law recognizes that every body has some inertia. Inertia is that property of a body due to which it resists a change in its state of rest or of uniform motion. Greater the inertia of a body, greater will be the force required to bring a change in its state of rest or of uniform motion. Mass is a measure of the inertia of a body. If a body has more mass, it has more inertia. That is, heavier objects have more inertia than lighter objects. Example:- a stone has greater inertia than a football. If we kick a stone, it will not move because of its high inertia but if we kick a football, it will move a long way. A stone has more inertia than a football. A cricket ball has more inertia than a rubber ball of the same size. So, the inertia of a body depends on its mass. So we conclude that to overcome the inertia and make a body move from rest, we must apply an external force. It should be noted that Newton’s first law of motion is also some times called Galileo’s law of inertia. Some more examples of law of inertia:- When a tree ( having flexible stem) is shaken vigorously, its fruits and leaves fall down. This is due to the fact that because of their inertia. When a hanging carpet is beaten with a stick, the dust particles start coming out of it. This is because the force of stick makes the carpet move to-and-fro slightly but the dust particles tend to remain at rest due to their inertia and hence separate from the carpet. When a car or bus starts suddenly, the passengers fall backward. This is due to the fact that because of their inertia. When a running car or bus stops suddenly, the passengers are jerked forward because due to inertia. Newton’s first law of motion gives us a definition of force. A force is something which changes or tends to change the state of rest or of uniform motion of a body. Force is a vector quantity. Momentum:- The momentum of a body is defined as the product of its mass and velocity. The force required to to stop a moving body is also directly proportional to its velocity. Thus, the quantity of motion in a body depends on the mass and velocity of the body. Thus, Momentum = mass × velocity P = m × v where, p = momentum m = mass of the body v = velocity of the body If a body is at rest, its velocity is zero and hence its momentum is also zero. Thus, the total momentum of the gun and bullet before firing is zero because their velocity is zero. momentum is a vector quantity. The SI unit of momentum is kilogram metres per second or Kg.ms-1. Every moving body possesses momentum. Since momentum depends on the mass and velocity of a body, so a body will have a large momentum : a) If its mass is larger, or (b) If its velocity is large, or (c) If both its mass and velocity are large. Some examples of momentum:- A karate player can break a pile of tiles or a slab of ice with a single blow of his hand. A cricket ball is not very heavy but when it is thrown with a high speed, it acquires a very momentum and sometimes hurts the batsman. A car or bus may not be running at a high speed but because of its high momentum which may hurt the person coming in its way. Momentum is considered to be a measure of the quantity of motion of a moving body. Ex:- What is the momentum of a man of mass 75kg when he walks with a uniform velocity of 2m/s ? here, mass = 75kg velocity = 2m/s We know that, momentum = mass × velocity p = m × v p = 75 × 2 p = 150 kg.ms-1."
53,Chapter 9 - Force and Laws of Motion,Newton’s second law of motion,"When two bodies, a heavy one and a light one, are acted upon by the same force for the same time, the light body attains a higher velocity than the heavy one. But the momentum gained by both the bodies is the same. The link between force and momentum is expressed in Newton’s second law of motion. According to Newton’s second law of motion:- The rate of change of momentum of a body is directly proportional to the applied force, and takes in the direction in which the force acts. Force ∝ Change in momentum/ time taken Consider a body of mass m having an initial velocity u. The initial momentum of this body will be mu. Suppose a force F acts on this body for time t and causes the final velocity to become v. The final momentum of this body will be mv. Now, the change in momentum of this body is mv – mu and the time taken for this change is t. So, according to Newton’s second law of motion: F ∝ mv – mu/ t F ∝ m(v – u)/ t But v – u/ t represents change in velocity with time which is known as acceleration ‘a’. So, by writing ‘a’ in place of v – u/ t in the above relation, we get: F ∝ m × a F = k × m × a F = m × a ( k= constant) Force = mass × acceleration Thus, Newton’s second law of motion gives us a relationship between ‘force’ and ‘acceleration’. Newton’s second law of motion also gives us a method of measuring the force in terms of mass and acceleration. F = m × a a = F/m The acceleration produced in a body is directly proportional to the force acting on it and inversely proportional to the mass of the body, The SI unit of force is newton (N). A newton is that force which when acting on a body of mass 1kg produces an acceleration of 1 m/s2 in it. F = m × a 1 newton = 1kg × 1m/s2 Newton’s second law gives us a relationship between the force applied to a body and the acceleration produced in the body. If a minus sign comes with the force, it will indicate that the force is acting in a direction opposite to that in which the body is moving. Application of newton’s second law of motion:- Catching a cricket ball The case of a high jumper The use of seat belts in cars Example:- What force would be needed to produce an acceleration of 4m/s2 in a ball of mass 6 kg? Sol:- Here, Mass = 6 kg Acceleration = 4m/s2 Force = mass × acceleration F = m × a F = 6 × 4 F = 24 N Thus, the force needed is of 24 newtons."
54,Chapter 9 - Force and Laws of Motion,Newton’s third law of motion,"The third law of motion states that when one object exerts a force on another object, the second object instantaneously exerts a force back on the first. These two forces are always equal in magnitude but opposite in direction . The two opposing forces are also known as action and reaction forces. Some examples to illustrate Newton’s third law of motion:- When a force is applied through the free end of spring balance A, it is observed that both the spring balances show the same readings on their scales. It means that the force exerted by spring balance A on balance B is equal but opposite in direction to the force exerted by the balance B on balance A. The force which balance A exerts on balance B is called the action and the force of balance B on balance A is called the reaction. This gives us an alternatives statement of the third law of motion i.e., to every action there is an equal and opposite reaction. Fig :- Action and reaction forces are equal and opposite When a gun is fired, it exerts a forward force on the bullet. The bullet exerts an equal and opposite reaction force on the gun. This results in the recoil of the gun. Since the gun has a much greater mass than the bullet, the acceleration of the gun is much less than the acceleration of the bullet. The third law of motion can also be illustrated when a sailor jumps out of a rowing boat. As the sailor jumps forward, the force on the boat moves it backwards. Fig:- A forward force on the bullet and recoil of the gun. Fig:- As the sailor jumps in forward direction, The boat moves backwards."
55,Chapter 9 - Force and Laws of Motion,Conservation of Momentum,"Let two objects ( two balls A and B ) of masses mA and mB are travelling in the same direction along a straight line at different velocities uA and uB, respectively. And there are no other external unbalanced forces acting on them. Let uA>uB and the two balls collide with each other . During collision which lasts for a time t, the ball A exerts a force FAB on ball B and the ball B exerts a force FBA on ball A. Suppose vA and vB are the velocities of the two balls A and B after the collision, respectively. The momenta of ball A before and after the collision are mAuA and mAvA, respectively. The rate of change of its momentum during the collision will be mA (vA – uA)/t. Similarly, the rate of change of momentum of ball B during the collisison will be mB (vB -uB)/t. According to the third law of momentum of ball B during the collision will be mB exerted by ball A on ball B and the force FAB exerted by the ball b on ball A must be equal and opposite to each other. Therefore, FAB = −FBA or, mA ( vA − uA)/t = − mB (vB − uB)/t mAuA + mBuB = mAvA + mBvB Since (mAuA + mBuB) is the total momentum of the two balls A and B before the collision and (mAvA + mBvB) is their total momentum after the collision, we observe that the total momentum of the two balls remains unchanged or conserved provided no other external force acts. As a result of this ideal collision experiment, we say that the sum of momenta of the two objects before collision provided there is no external unbalanced force acting on them. This is known as law of conservation of momentum. Example:- A bullet of mass 20g is horizontally fired with a velocity 150 m s-1 from a pistol of mass 2 kg. What is the recoil velocity of the pistol? Sol:- Mass of bullet = 20 g = 20/1000 = 0.02 kg. Mass of pistol = 2 kg Initial velocities of bullet (u1) and pistol (u2) = 0 Final velocity of bullet (v1) = + 150 m s-1 Let the recoil of velocity of pistol = v Total momenta of the pistol and bullet before fire, when the gun is at rest = (2 + 0.02) × 0 m s-1 = 0 kg m s-1 Total momenta of the pistol and bullet after it is fired = 0.02 kg × ( + 150 m s-1) + 2 kg × v m s-1 = (3 + 2v) kg m s-1 According to law of conservation of momentum, Total momenta after the fire = Total momenta before the fire 3 + 2v = 0 v = – 1.5 m s-1. Negative sign indicates that the direction in which the pistol would recoil is opposite to that of bullet, that is, right to left."
56,Chapter 10 - Gravitation,Introduction of gravitation,"A force is needed is needed to change the speed or the direction of motion of an object. We always observe that an object dropped from a height falls towards the earth. We know that all the planets go around the Sun. The moon goes around the earth. In all these cases, there must be some force acting on the objects, the planets and on the moon. Isaac Newton could grasp that the same force is called the gravitational force. A stone dropped from a height falls towards the earth because the earth exerts a force of attraction (called gravity) on the stone and pulls it down. The earth attracts (or pulls) all the objects towards its centre. The force with which the earth pulls the objects towards it is called the gravitational force of the earth or gravity (of earth). The gravitational force of the earth (or gravity of earth) is responsible for holding the atmosphere above the earth; for the rain falling to the earth; and for the flow of water in the rivers. It is also the gravitational force of earth (or gravity of earth) which keeps us firmly on the ground. Every Objects in the Universe Attracts Every Other Object According to the Newton, every object in this universe attracts every other object with a certain force. The force with which two objects attract each other is called gravitational force (or gravity). If the masses of the objects (or bodies) are small, then the gravitational force between them is very small (which can not be detected easily). If the object having very large mass, then the gravitational force becomes very large (and its effect can be seen easily). The ‘gravitational force’ or ‘gravity’ is always a force of attraction between two objects (or two bodies)."
57,Chapter 10 - Gravitation,Universal law of Gravitation,"The universal law of gravitation was given by Newton. So, it is also known as Newton’s law of gravitation. According to universal law of gravitation:- Every body in the universe attracts every other body with a force which is directly proportional to the product of their masses and inversely proportional to the square of the distance between them. The force is along the line joining the centres of two objects. Let two objects A and B of masses M and m lie at a distance d from each other. Let the force of attraction between two objects be F. According to the universal law of gravitation, the force between two objects is directly proportional to the product of their masses. That is, F ∝ M × m…………………………………………………(1) And the force between two objects is inversely proportional to the square of the distance between them, that is, F ∝ 1/d2…………………………………………………………(2) From equation 1 and 2, we get F ∝ M × m/d2 F = G M × m/d2 where G is the constant of proportionality and is called the universal gravitation constant. F × d2 = G M × m G = F d2/M × m The SI unit of G is N m2 kg-2. The value of G was found out by Henry Cavendish (1731-1810) by using a sensitive balance. The accepted value of G is 6.673 × 10-11 N m2 kg-2. Example:- The mass of the earth is 6 × 1024 kg and that of the moon is 7.4 × 1022 kg. If the distance between the earth and the moon is 3.84 × 105 km, calculate the force exerted by the earth on the moon. G = 6.7 × 10-11 N m2 kg-2. Sol:- The mass of the earth (M) = 6 × 1024 kg The mass of the moon (m) = 7.4 × 1022 kg The distance between the earth and the moon (d) = 3.84 × 105km = 3.84 × 105 × 1000 m = 3.84 × 108 m G = 6.7 × 10-11 N m2 kg-2 F = G M × m/d2 F = 6.7 × 10-11 × 6 × 1024 × 7.4 × 1022/ (3.84 × 108)2 F = 2.01 × 1020 N Thus, the force exerted by the earth on the moon is 2.01 × 1020N."
58,Chapter 10 - Gravitation,Free fall,"We know that the earth attracts objects towards it. This is due to the gravitational force. Whenever objects fall towards the earth under this force alone, we say that the objects are in free fall. while falling, there is no change in the direction of motion of the objects. But due to the earth’s attraction, there will be a change in the magnitude of the velocity. Any change in velocity involves acceleration. Whenever an objects falls towards the earth, an acceleration is involved. This acceleration is due to to the earth’s gravitational force. Therefore, this acceleration is called the acceleration due to gravitational force of the earth (or acceleration due to gravity). It is denoted by g . This unit of g is the same as that of acceleration, that is, m s-2. From second law of motion that force is the product of mass and acceleration. let the mas of the stone is m. Acceleration involved in falling objects due to the gravitational force and is denoted by g. Therefore the magnitude of the gravitational force F will be equal to the product of mass and acceleration due to gravitational force. That is, F = mg We know that, F = G M × m/d2 So, mg = G M × m/d2 g = G M/d2 Where, M = mass of the earth d = distance between the object and the earth The distance d is equal to R, which is the radius of the earth mg = G M × m/R2 g = G M/R2 The earth is not a sphere. As the radius of the earth increases from the poles to the equator, the value of g becomes greater at the poles than at the equator."
59,Chapter 10 - Gravitation,calculate the value of g,"To calculate the value of g, we should put the values of G, M and R, namely, universal gravitational constant G = 6.7 × 10-11 N m2 kg-2, mass of the earth, M = 6 × 1024 kg. and radius of the earth, R = 6.4 × 106 m. g = G M/d2 g = 6.7 × 10-11 N m2 kg-2 × 6 × 1024 kg/ ( 6.4 × 106 m )2 g = 9.8 m s-2 Thus, the value of acceleration due to gravity of the earth, g = 9.8 m s-2."
60,Chapter 10 - Gravitation,Motion of objects under the influence of gravitational force of the earth,"We know that an object experiences acceleration during free fall. This acceleration experienced by an object is independent of its mass . This means that all objects hollow or solid, big or small, should fall at same rate. According to a story, Galileo dropped different objects from the top of the Leaning tower of Pisa in Italy to prove the same. As g is constant near the earth, all the equations for the uniformly accelerated motion of objects become valid with acceleration a replaced by g, the equations are:- v = u + at Changes to v = u + gt s = ut + 1/2at2 Changes to h = ut + 1/2gt2 v2 = u2 + 2as Changes to v2 = u2 = 2gh where u and v are the initial and final velocities and s is the distance covered in time, t. In applying these equations, we will take acceleration, a to be positive when it is in the direction of the velocity, that is, in the direction of motion. The acceleration, a will be taken as negative when it opposes the motion. Example:- A car falls off a ledge and drops to the ground in 0.5 s. Let g = 10 m s-2. What is its speed on striking the ground? What is its average speed during the 0.5 s? How high is the ledge from the ground? Sol:- Time (t) = 0.5 s = 1/2 s Initial velocity (u) = 0 m s-1 Acceleration due to gravity (g) = 10 m s-2 Acceleration of the car (a) = + 10 m s-2 (downward) Speed v = u + at v = 10 m s-2 × 0.5 s v = 5 m s-1 2. Average speed = u + v/ 2 = (0 m s-1 + 5 m s-1)/ 2 = 2.5 m s-1 3. Distance = ut + 1/2at2 = 0 × 0.5 + 1/2 × 10 m s-2 × (0.5 s)2 = 1/2 × 10 × 0.25 = 1.25 m"
61,Chapter 10 - Gravitation,Mass and Weight,"Mass:- We know that the mass of the object is the measure of its inertia. Greater the mass, the greater is the inertia. It remains the same whether the object is on the earth, the moon or even in outer space. Thus, the mass of the object is constant and does not change from place to place. Weight:-The earth attracts every object with a certain force and this force depends on the mass (m) of the object and the acceleration due to gravity (g). The weight of an object is the force with which it is attracted towards the earth. We know that, F = m × a that is, F = m × g The force of attraction of the earth on an object is known as the weight of the object. it is denoted by W. So, W = m × g SI unit of the weight is Newton “N”. The weight is a force acting vertically downwards; it has both magnitude and direction. The value of g is constant at a given place. Therefore at a given place, the weight of an object is directly proportional to the mass. That is, W ∝ m. The mass of an object remains the same everywhere, that is, on the earth and on the any planet whereas its weight depends on its location."
62,Chapter 10 - Gravitation,Weight of an object on the moon,"The weight of an object on the earth is the force with which the earth attracts the object. In the same way, the weight of an object on the moon is the force with which the moon attracts that object. The mass of the moon is less than that of the earth. Due to this the moon exerts lesser force of attraction on objects. Let the mass of an object be m. Let its weight on the moon be Wm. Let the mass of the moon be Mm and its radius be Rm. By applying the universal law of the gravitation, the weight of the object on the moon will be Wm = G Mm × m/R2m Let the weight of the same object on the earth We. The mass of the earth is M and its radius is R. Celestial body Mass (kg) Radius (m) Earth 5.98 × 1024 6.37 × 106 moon 7.36 × 1022 1.74 × 106 We = G M × m/R2 Wm = G 7.36 × 1022 kg × m/ (1.74 × 106m)2 Wm = 2.431 × 1010 × G × m…………………………………………..(1) and We = 1.474 × 1011 G × m…………………………………………..(2) Dividing equation 1 by 2 Wm/We = 2.431 × 1010/ 1.474 × 1011 or Wm/We = 0.165 ~~ 1/6 Weight of the object on the moon/Weight of the object on the earth = 1/6 Weight of the object on the moon = (1/6) × its weight on the earth. Example:- Mass of an object is 10 kg. What is its weight on the earth? Solution:- mass (m) = 10 kg Acceleration due to gravity (g) = 9.8 m s-2 W = m × g W = 10 kg × 9.8 m s-2 = 98 N Thus, the weight of the object is 98 N."
63,Chapter 10 - Gravitation,Thrust and Pressure,"Thrust:- The force acting on an object perpendicular to the surface is called thrust. When we stand on loose sand, the force, that is, the weight of our body is acting on an area equal to area of our feet. When we lie down, the same force acts on an area equal to the contact area of of our whole body, which is larger than the area of our feet. Thus, the effects of forces of the same magnitude on different areas are different. In these cases thrust is the same. But effects are different. Therefore the effect of thrust depends on the area on which it acts. Pressure:-The effect of thrust on sand is larger while standing than while lying. The thrust on unit area is called pressure. Thus, Pressure = thrust/ area Substituting the SI unit of thrust and area so, we get the SI unit of pressure as N/m2 or N m-2. In honour of scientist Blaise Pascal, the SI unit of pressure is called pascal, denoted as Pa. Ex-A block of wood is kept on a tabletop. The mass of wooden block is 5kg and its dimensions are 40 cm × 20 cm × 10 cm. Find the pressure exerted by the wooden block on the table top if it is made to lie on the table top with its sides of dimensions (a) 20 cm × 10 cm and (b) 40 cm × 20 cm. Solution :- Mass of wooden block = 5 kg The dimensions = 40 cm × 20 cm × 10 cm Thrust = F = m × g = 5 kg × 9.8 m s-2 = 49 N Area of a side = length × breadth = 20cm × 10cm 200 cm2 = 0.02 m2 Pressure = 49N/0.02 m2 = 2450 N m-2 When the block lies on its side of dimensions 40 cm × 20 cm, it exerts the same thrust. Area = length × breath = 40 cm × 20 cm = 800 cm2 = 0.08 m2 Pressure = 49N/ 0.08 =612.5 N m-2 The pressure exerted by the side 20 cm × 10 cm is 2450 N m-2 and by the side 40 cm × 20 cm is 612.5 n m-2."
64,Chapter 10 - Gravitation,Pressure in Fluids,"All liquids and gases are fluids. A solid exerts pressure on a surface due to its weight. Similarly, fluids have weight, and they also exert pressure on the base and walls of the container in which they are enclosed. Pressure exerted in any confined mass of fluid is transmitted undiminished in all directions. Buoyancy The buoyant force is a force that is exerted on an object which is partially or completely immersed in a fluid. The other name for this upward force is called upthrust. Because of the presence of buoyant force, a body that is submerged fully or partly in a fluid will lose its weight. The magnitude of this buoyant force depends on the density of the fluid. Why objects float or sink when placed on the surface of water? The nail sinks. The force due to the gravitational attraction of the earth on the iron nail pulls it downwards. There is an upthrust of water on the nail, which pushes it upwards. But the downward force acting on the nail is greater than the upthrust of water on the nail. So it sinks. The cork floats while the nails sinks. This happens because of the difference in their densities. The density of a substance is defined as the mass per unit volume. The density of cork is less than the density of water. This means that the upthrust of water on the cork is greater than the weight of the cork. So it floats. Fig:- An iron nail sinks and a cork floats when placed on the surface of water."
65,Chapter 10 - Gravitation,Archimedes’ principle,"It states that ” The buoyancy force (or upward force) exerted on a body immersed in a fluid (liquid or gas) is equal to the weight of the fluid displaced by the body.” Mathematically: Fb = ρVg Where: Fb = Buoyancy force (N) ρ = Density of fluid (kg/m3) V = Volume of fluid displaced (m3) g = Acceleration due to gravity (m/s2) Applications :- Ship design : Calculating buoyancy and stability Offshore platforms : Ensuring structural integrity. Submarines: Controlling depth buoyancy. Flotation devices: Life jackets, flotation bags. hydroelectric power: Measuring water pressure. lactometers: which are used to determine the purity of a sample of milk."
66,Chapter 10 - Gravitation,Relative Density,"The density of a substance is defined as mass of a unit volume. The unit of density is kilogram per metre cube (kg m-3). It is also known as specific gravity. Relative Density = Density of substance/ Density of water Density of water: At 4°C (39.2°F) = 1000 kg/m3 (or 1 g/cm3) It is different for different substances. Ex- the density of gold is 19300 kg m-3 while that of water is 1000 kg m-3. The density of a given sample of a substance can help us to determine its purity. Since the relative density is a ratio of similar quantities, it has no unit. Example:- Relative density of silver is 10.8. The density of water is 103 kg m-3. What is the density of silver in SI unit? Solution: Relative density of silver = 10.8 Relative density = Density of silver/Density of water Density of silver = Relative density of silver × density of water = 10.8 × 103 kg m-3."
67,Chapter 11 - Work and Energy,Introduction of Work and Energy,"All living beings need food. Living beings have to perform several basic activities to survive. We call such such activities ‘life processes’. The energy for these processes comes from food. We need energy for other activities like playing, singing, reading, writing, thinking, jumping, cycling and running. Activities are strenuous require more energy."
